UNIQUE_ID,PERSON_AGE,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_SEX,PERSON_TYPE,PED_LOCATION,CONTRIBUTING_FACTOR_2,EJECTION,COMPLAINT,EMOTIONAL_STATUS,CONTRIBUTING_FACTOR_1,POSITION_IN_VEHICLE,PED_ROLE,PED_ACTION,PERSON_INJURY
11941996,43.0,4.0,-10.0,0,3.0,4.0,10.0,0.0,50.0,10.0,27.0,-10.0,4.0,5.0,Killed
11889467,32.0,10.0,0.0,0,2.0,1.0,0.0,3.0,50.0,10.0,0.0,10.0,5.0,-1.0,Killed
11900510,39.0,8.0,7.0,0,2.0,1.0,0.0,10.0,20.0,3.0,0.0,10.0,5.0,-1.0,Killed
11904714,41.0,10.0,-10.0,0,3.0,5.0,10.0,0.0,30.0,10.0,27.0,-10.0,4.0,10.0,Killed
11905767,24.0,4.0,0.0,0,1.0,1.0,0.0,10.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11893484,48.0,10.0,8.0,0,2.0,1.0,0.0,10.0,40.0,10.0,0.0,10.0,5.0,-1.0,Killed
11934343,31.0,10.0,0.0,0,2.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11893895,77.0,9.0,-10.0,1,2.0,1.0,0.0,5.0,50.0,10.0,0.0,8.0,3.0,-1.0,Killed
11922031,57.0,3.0,8.0,0,2.0,1.0,0.0,10.0,30.0,3.0,0.0,10.0,5.0,-1.0,Killed
11951910,91.0,10.0,-10.0,1,3.0,5.0,10.0,0.0,50.0,10.0,10.0,-10.0,4.0,4.0,Killed
11901508,29.0,10.0,8.0,0,2.0,1.0,0.0,10.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11912828,36.0,10.0,-10.0,1,3.0,5.0,10.0,0.0,30.0,10.0,10.0,-10.0,4.0,0.0,Killed
11903023,23.0,9.0,8.0,0,2.0,1.0,0.0,10.0,20.0,10.0,0.0,10.0,5.0,-1.0,Killed
11903161,20.0,10.0,-10.0,1,3.0,4.0,10.0,0.0,30.0,10.0,10.0,-10.0,4.0,3.0,Killed
11915514,54.0,10.0,-10.0,0,3.0,4.0,10.0,0.0,30.0,10.0,10.0,-10.0,4.0,5.0,Killed
11905524,45.0,9.0,7.0,0,2.0,1.0,0.0,10.0,30.0,10.0,0.0,7.0,5.0,-1.0,Killed
11912002,35.0,10.0,8.0,0,2.0,1.0,0.0,10.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11911677,29.0,9.0,0.0,0,4.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11912394,27.0,9.0,10.0,0,2.0,1.0,0.0,10.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11940335,90.0,10.0,-10.0,1,3.0,5.0,10.0,0.0,50.0,10.0,10.0,-10.0,4.0,4.0,Killed
11933491,18.0,9.0,10.0,1,2.0,1.0,0.0,3.0,50.0,10.0,0.0,10.0,5.0,-1.0,Killed
11953754,23.0,10.0,0.0,0,2.0,1.0,0.0,10.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11938948,26.0,10.0,0.0,0,4.0,1.0,0.0,10.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11922455,6.0,9.0,-10.0,1,3.0,5.0,10.0,0.0,50.0,10.0,10.0,-10.0,4.0,4.0,Killed
12020529,70.0,9.0,-10.0,1,3.0,3.0,10.0,0.0,20.0,10.0,10.0,-10.0,4.0,-1.0,Killed
11977203,52.0,1.0,-10.0,0,3.0,1.0,10.0,0.0,0.0,10.0,10.0,-10.0,4.0,0.0,Killed
11948636,61.0,7.0,-10.0,0,3.0,5.0,10.0,0.0,20.0,3.0,27.0,-10.0,4.0,10.0,Killed
11925787,69.0,10.0,-10.0,1,3.0,5.0,10.0,0.0,30.0,8.0,10.0,-10.0,4.0,4.0,Killed
11926256,35.0,10.0,8.0,0,2.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11930121,44.0,10.0,-10.0,1,3.0,4.0,10.0,0.0,30.0,10.0,10.0,-10.0,4.0,3.0,Killed
11956290,45.0,10.0,8.0,0,2.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11967500,21.0,10.0,10.0,0,2.0,1.0,0.0,3.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11940503,43.0,10.0,-10.0,0,3.0,5.0,40.0,0.0,20.0,3.0,27.0,-10.0,4.0,10.0,Killed
11934441,62.0,9.0,-10.0,1,3.0,4.0,10.0,0.0,50.0,10.0,27.0,-10.0,4.0,9.0,Killed
11985005,52.0,9.0,-10.0,0,2.0,1.0,0.0,3.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11952255,42.0,1.0,9.0,0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,10.0,5.0,-1.0,Killed
11970390,19.0,1.0,0.0,0,2.0,1.0,0.0,3.0,0.0,10.0,0.0,6.0,3.0,-1.0,Killed
11939666,48.0,9.0,0.0,0,2.0,1.0,0.0,10.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11939394,68.0,10.0,-10.0,1,3.0,5.0,10.0,0.0,30.0,10.0,10.0,-10.0,4.0,4.0,Killed
11959505,26.0,10.0,8.0,0,2.0,1.0,0.0,10.0,50.0,8.0,0.0,7.0,5.0,-1.0,Killed
11951110,28.0,10.0,0.0,0,1.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11949220,19.0,10.0,0.0,0,2.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11945442,73.0,10.0,-10.0,1,3.0,4.0,10.0,0.0,50.0,8.0,27.0,-10.0,4.0,9.0,Killed
11952738,56.0,10.0,8.0,0,2.0,1.0,0.0,10.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11982860,70.0,10.0,9.0,0,2.0,1.0,0.0,3.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11954441,22.0,10.0,0.0,0,2.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11976927,72.0,1.0,-10.0,0,2.0,1.0,0.0,3.0,0.0,8.0,0.0,10.0,5.0,-1.0,Killed
12007010,34.0,9.0,8.0,0,2.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11984316,23.0,10.0,0.0,0,2.0,1.0,0.0,10.0,30.0,8.0,0.0,8.0,3.0,-1.0,Killed
11965085,44.0,10.0,0.0,0,1.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11966120,38.0,9.0,-10.0,0,3.0,4.0,10.0,0.0,30.0,10.0,27.0,-10.0,4.0,9.0,Killed
11967814,90.0,10.0,-10.0,1,3.0,5.0,10.0,0.0,30.0,10.0,10.0,-10.0,4.0,4.0,Killed
11978040,23.0,10.0,0.0,0,2.0,1.0,0.0,10.0,0.0,1.0,0.0,10.0,5.0,-1.0,Killed
11968403,31.0,9.0,-10.0,1,3.0,3.0,10.0,0.0,30.0,10.0,10.0,-10.0,4.0,5.0,Killed
