,CRASH_DATE,CRASH_TIME,PERSON_AGE,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_SEX,PERSON_TYPE,PED_LOCATION,CONTRIBUTING_FACTOR_2,EJECTION,COMPLAINT,EMOTIONAL_STATUS,CONTRIBUTING_FACTOR_1,POSITION_IN_VEHICLE,PERSON_INJURY
310,2,0,18.0,5,4,0,2,0,0,3,0,0,0,0,0
311,2,0,26.0,3,1,0,1,1,1,1,0,0,1,1,0
312,2,0,34.0,2,6,1,0,0,0,0,0,0,0,0,0
313,2,1,27.0,7,0,1,0,0,0,0,0,0,0,5,0
314,2,1,60.0,1,0,1,0,0,0,0,0,0,0,5,0
315,2,1,65.0,1,0,1,0,0,0,0,9,0,0,2,0
316,2,1,60.0,1,0,1,0,0,0,0,0,0,0,3,0
317,2,1,29.0,2,0,1,0,0,0,0,0,0,0,0,0
318,2,1,4.0,5,1,0,1,3,1,1,12,1,1,1,1
319,2,1,18.0,8,3,0,0,0,0,0,0,0,0,0,0
320,2,1,35.0,7,0,1,0,0,0,0,2,0,0,0,0
321,2,1,5.0,10,1,0,1,3,1,1,12,0,1,1,0
322,2,1,22.0,4,1,1,1,1,1,1,0,0,1,1,0
323,2,1,56.0,3,0,1,0,0,0,0,2,6,0,0,0
324,2,1,21.0,0,0,1,0,0,0,0,0,0,0,6,0
325,2,1,61.0,7,0,0,0,0,0,0,0,0,0,0,0
326,2,1,35.0,1,0,0,0,0,0,0,0,0,0,0,0
327,2,1,52.0,4,3,1,0,0,0,0,7,0,0,0,0
328,2,1,50.0,7,1,0,1,3,1,1,0,0,1,1,0
329,2,1,72.0,5,0,1,0,0,0,0,9,3,0,2,0
330,2,1,70.0,7,5,0,2,0,0,0,0,0,0,0,0
331,2,1,29.0,2,3,0,0,0,0,0,0,0,0,0,0
332,2,2,47.0,5,3,1,0,0,0,0,1,0,0,2,0
333,2,2,49.0,9,3,0,0,0,0,0,1,0,0,0,0
334,2,2,65.0,0,0,1,0,0,0,0,0,0,0,0,0
335,2,2,43.0,4,1,0,1,1,1,1,0,0,1,1,0
336,2,2,40.0,3,1,0,1,3,1,1,2,0,8,1,0
337,2,2,8.0,0,6,0,0,0,0,0,2,0,0,5,0
338,2,2,8.0,4,1,1,1,1,1,1,0,0,1,1,0
339,2,2,42.0,4,0,0,0,0,0,0,0,0,0,0,0
340,2,2,45.0,8,5,1,0,0,0,0,0,0,0,8,0
341,2,2,63.0,5,5,0,0,0,0,0,0,0,0,8,0
342,2,2,30.0,3,1,1,1,3,1,1,0,0,1,1,0
343,2,2,40.0,1,0,0,0,0,0,0,2,0,0,0,0
344,2,3,21.0,4,0,0,0,0,0,0,7,0,0,0,0
345,2,3,40.0,0,4,1,0,0,0,3,0,0,0,0,0
346,2,3,33.0,5,0,0,0,0,0,0,0,0,0,0,0
347,2,3,18.0,4,1,0,1,1,1,1,1,6,1,1,0
348,2,3,29.0,3,1,1,1,1,1,1,0,3,1,1,0
349,2,3,6.0,6,1,0,1,1,1,1,0,3,1,1,0
350,2,3,20.0,11,0,1,0,0,0,0,10,6,0,7,0
351,2,3,57.0,0,0,1,0,0,0,0,0,0,0,0,0
352,2,3,38.0,7,0,1,0,0,0,0,2,0,0,6,0
353,2,3,37.0,0,6,0,0,0,0,0,0,0,0,2,0
354,2,3,35.0,0,5,0,0,0,0,0,0,0,0,3,0
355,2,3,38.0,4,0,0,0,0,0,0,2,0,0,0,0
356,2,3,29.0,1,10,1,0,0,0,0,0,0,0,0,0
357,2,3,32.0,7,5,0,2,0,0,0,2,0,0,4,0
358,2,3,64.0,6,3,1,0,0,0,0,0,0,0,0,0
359,2,3,64.0,7,6,0,0,0,0,0,0,0,0,0,0
360,2,3,50.0,2,1,0,1,3,1,1,1,0,1,1,0
361,2,3,76.0,7,0,0,0,0,0,0,2,0,0,0,0
362,2,3,27.0,7,0,1,0,0,0,0,0,0,0,0,0
363,2,3,42.0,1,6,1,0,0,0,0,0,0,0,0,0
364,2,3,35.0,8,7,0,2,0,0,0,0,0,0,0,0
365,2,3,51.0,4,5,1,0,0,0,0,0,0,0,0,0
366,2,3,25.0,4,4,0,2,0,0,4,0,0,0,0,0
367,2,3,36.0,2,5,0,2,0,0,0,0,0,0,0,0
368,2,3,34.0,5,0,1,0,0,0,0,0,0,0,0,0
369,2,3,32.0,4,1,1,1,1,1,1,0,0,1,1,0
370,2,3,37.0,2,0,0,0,0,0,0,1,0,0,0,0
371,2,3,22.0,2,5,0,2,0,0,3,1,0,0,0,0
372,2,3,47.0,7,11,0,2,0,0,3,0,0,0,0,0
373,2,3,30.0,0,5,0,0,0,0,4,0,0,0,0,0
374,2,3,18.0,5,0,1,0,0,0,0,0,0,0,3,0
375,2,3,31.0,4,1,0,1,1,5,1,0,0,2,1,0
376,2,3,64.0,1,1,1,1,1,1,1,0,0,1,1,0
377,2,3,29.0,4,5,0,2,0,0,0,0,0,0,0,0
378,2,3,32.0,7,5,0,0,0,0,0,0,0,0,0,0
379,2,3,50.0,5,0,1,0,0,0,0,0,0,0,2,0
380,2,3,38.0,2,1,1,1,1,5,1,1,0,2,1,0
381,2,3,54.0,2,1,0,1,1,1,1,3,0,1,1,0
382,2,4,26.0,4,4,0,2,0,0,0,8,0,0,4,0
383,2,4,24.0,5,0,0,0,0,0,0,0,0,0,0,0
384,2,4,59.0,3,1,0,1,3,1,1,8,0,1,1,0
385,2,4,33.0,7,0,0,0,0,0,0,0,0,0,0,0
